,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
29,2024-03-16,18:30,Bundesliga,Matchweek 26,Sat,Away,W,3,0,Hoffenheim,3.7,0.5,57.0,30150.0,Waldemar Anton,3-4-3,Sascha Stegemann,Match Report,,25.0,11.0,17.5,0.0,0,0,2024,Stuttgart
30,2024-03-31,17:30,Bundesliga,Matchweek 27,Sun,Home,D,3,3,Heidenheim,3.0,1.3,72.0,60000.0,Waldemar Anton,4-2-2-2,Felix Zwayer,Match Report,,20.0,6.0,16.8,0.0,0,0,2024,Stuttgart
31,2024-04-06,18:30,Bundesliga,Matchweek 28,Sat,Away,W,1,0,Dortmund,1.6,2.5,49.0,81365.0,Atakan Karazor,3-4-3,Matthias Jöllenbeck,Match Report,,10.0,2.0,16.7,0.0,0,0,2024,Stuttgart
32,2024-04-13,18:30,Bundesliga,Matchweek 29,Sat,Home,W,3,0,Eint Frankfurt,1.2,0.6,54.0,60000.0,Waldemar Anton,4-2-3-1,Deniz Aytekin,Match Report,,9.0,6.0,16.3,0.0,0,0,2024,Stuttgart
33,2024-04-21,15:30,Bundesliga,Matchweek 30,Sun,Away,L,1,2,Werder Bremen,2.2,1.5,69.0,42100.0,Waldemar Anton,3-5-2,Robert Schröder,Match Report,,15.0,5.0,15.7,1.0,0,0,2024,Stuttgart
34,2024-04-27,18:30,Bundesliga,Matchweek 31,Sat,Away,D,2,2,Leverkusen,1.7,1.4,51.0,30210.0,Waldemar Anton,4-2-2-2,Felix Zwayer,Match Report,,11.0,4.0,17.1,0.0,0,0,2024,Stuttgart
35,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Home,W,3,1,Bayern Munich,1.8,1.7,61.0,60000.0,Waldemar Anton,4-2-2-2,Tobias Welz,Match Report,,24.0,9.0,20.4,0.0,0,0,2024,Stuttgart
36,2024-05-10,20:30,Bundesliga,Matchweek 33,Fri,Away,W,1,0,Augsburg,1.9,0.6,76.0,30660.0,Waldemar Anton,4-2-2-2,Patrick Ittrich,Match Report,,19.0,7.0,16.6,0.0,0,0,2024,Stuttgart
37,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,W,4,0,Gladbach,1.6,1.3,60.0,60000.0,Waldemar Anton,4-2-3-1,Daniel Schlager,Match Report,,21.0,11.0,18.7,0.0,0,0,2024,Stuttgart
1,2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Away,W,4,0,Werder Bremen,2.8,0.6,72.0,42100.0,Joshua Kimmich,4-2-3-1,Felix Zwayer,Match Report,,25.0,10.0,19.1,1.0,0,0,2024,Bayern Munich
2,2023-08-27,17:30,Bundesliga,Matchweek 2,Sun,Home,W,3,1,Augsburg,2.8,0.7,61.0,75000.0,Joshua Kimmich,4-2-3-1,Daniel Siebert,Match Report,,18.0,4.0,19.0,0.0,1,1,2024,Bayern Munich
3,2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Away,W,2,1,Gladbach,2.4,0.3,65.0,54042.0,Thomas Müller,4-2-3-1,Deniz Aytekin,Match Report,,25.0,7.0,15.0,0.0,0,0,2024,Bayern Munich
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Home,D,2,2,Leverkusen,2.1,2.1,51.0,75000.0,Thomas Müller,4-2-3-1,Daniel Schlager,Match Report,,16.0,9.0,13.1,0.0,0,0,2024,Bayern Munich
6,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,W,7,0,Bochum,4.8,0.1,62.0,75000.0,Joshua Kimmich,4-2-3-1,Robert Hartmann,Match Report,,25.0,14.0,14.7,0.0,1,1,2024,Bayern Munich
8,2023-09-30,18:30,Bundesliga,Matchweek 6,Sat,Away,D,2,2,RB Leipzig,2.3,0.7,65.0,47069.0,Joshua Kimmich,4-2-3-1,Marco Fritz,Match Report,,10.0,4.0,21.1,1.0,1,1,2024,Bayern Munich
10,2023-10-08,17:30,Bundesliga,Matchweek 7,Sun,Home,W,3,0,Freiburg,2.4,0.1,69.0,75000.0,Thomas Müller,4-2-3-1,Robert Schröder,Match Report,,21.0,6.0,17.7,0.0,0,0,2024,Bayern Munich
11,2023-10-21,18:30,Bundesliga,Matchweek 8,Sat,Away,W,3,1,Mainz 05,1.8,1.1,62.0,33305.0,Joshua Kimmich,4-2-3-1,Sascha Stegemann,Match Report,,13.0,5.0,17.3,0.0,0,0,2024,Bayern Munich
13,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,W,8,0,Darmstadt 98,5.8,0.7,54.0,75000.0,Manuel Neuer,4-2-3-1,Martin Petersen,Match Report,,29.0,16.0,17.1,3.0,0,0,2024,Bayern Munich
15,2023-11-04,18:30,Bundesliga,Matchweek 10,Sat,Away,W,4,0,Dortmund,3.2,1.0,51.0,81365.0,Manuel Neuer,4-2-3-1,Deniz Aytekin,Match Report,,14.0,8.0,12.2,0.0,0,0,2024,Bayern Munich
17,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,W,4,2,Heidenheim,2.0,0.9,72.0,75000.0,Manuel Neuer,4-2-3-1,Harm Osmers,Match Report,,19.0,8.0,13.8,0.0,0,0,2024,Bayern Munich
18,2023-11-24,20:30,Bundesliga,Matchweek 12,Fri,Away,W,1,0,Köln,3.5,0.2,68.0,50000.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,21.0,4.0,12.7,0.0,0,0,2024,Bayern Munich
20,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,5,Eint Frankfurt,2.1,1.3,64.0,58000.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Match Report,,20.0,4.0,14.9,0.0,0,0,2024,Bayern Munich
22,2023-12-17,19:30,Bundesliga,Matchweek 15,Sun,Home,W,3,0,Stuttgart,2.8,0.4,38.0,75000.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,17.0,8.0,14.3,1.0,0,0,2024,Bayern Munich
23,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,W,2,1,Wolfsburg,2.5,0.3,61.0,28917.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Match Report,,21.0,7.0,17.9,2.0,0,0,2024,Bayern Munich
